CacheSize,BlockSize,Associativity,WriteAlloc,WritePolicy,Replacement,LoadMisses,StoreMisses,TotalCycles,Command
256,32,4,write-allocate,write-back,lru,5086,27480,5947483,./csim 256 32 4 write-allocate write-back lru < gcc.trace
2048,4,4,write-allocate,write-back,lru,5184,27557,5954983,./csim 2048 4 4 write-allocate write-back lru < gcc.trace
1024,8,16,write-allocate,write-back,lru,2442,8883,5959283,./csim 1024 8 16 write-allocate write-back lru < gcc.trace
4096,2,4,write-allocate,write-back,lru,5275,27591,5970983,./csim 4096 2 4 write-allocate write-back lru < gcc.trace
2048,4,16,write-allocate,write-back,lru,2482,8891,6028083,./csim 2048 4 16 write-allocate write-back lru < gcc.trace
512,16,4,write-allocate,write-back,fifo,5461,27640,6028183,./csim 512 16 4 write-allocate write-back fifo < gcc.trace
256,32,4,write-allocate,write-back,fifo,5456,27641,6030283,./csim 256 32 4 write-allocate write-back fifo < gcc.trace
1024,8,4,write-allocate,write-back,fifo,5499,27657,6031783,./csim 1024 8 4 write-allocate write-back fifo < gcc.trace
512,16,16,write-allocate,write-back,fifo,2567,8924,6036483,./csim 512 16 16 write-allocate write-back fifo < gcc.trace
2048,4,4,write-allocate,write-back,fifo,5560,27739,6044183,./csim 2048 4 4 write-allocate write-back fifo < gcc.trace
4096,2,4,write-allocate,write-back,fifo,5658,27767,6062283,./csim 4096 2 4 write-allocate write-back fifo < gcc.trace
1024,8,16,write-allocate,write-back,fifo,2570,8920,6065683,./csim 1024 8 16 write-allocate write-back fifo < gcc.trace
2048,4,16,write-allocate,write-back,fifo,2603,8919,6123283,./csim 2048 4 16 write-allocate write-back fifo < gcc.trace
4096,2,16,write-allocate,write-back,lru,2572,8915,6270883,./csim 4096 2 16 write-allocate write-back lru < gcc.trace
4096,2,16,write-allocate,write-back,fifo,2666,8934,6343683,./csim 4096 2 16 write-allocate write-back fifo < gcc.trace
128,32,4,write-allocate,write-back,lru,5434,27784,6426483,./csim 128 32 4 write-allocate write-back lru < gcc.trace
512,8,4,write-allocate,write-back,lru,5487,27767,6429283,./csim 512 8 4 write-allocate write-back lru < gcc.trace
256,16,4,write-allocate,write-back,lru,5468,27775,6429383,./csim 256 16 4 write-allocate write-back lru < gcc.trace
1024,4,4,write-allocate,write-back,lru,5577,27814,6448583,./csim 1024 4 4 write-allocate write-back lru < gcc.trace
2048,2,4,write-allocate,write-back,lru,5871,27971,6505683,./csim 2048 2 4 write-allocate write-back lru < gcc.trace
128,32,4,write-allocate,write-back,fifo,6147,28084,6584383,./csim 128 32 4 write-allocate write-back fifo < gcc.trace
256,16,4,write-allocate,write-back,fifo,6166,28098,6587583,./csim 256 16 4 write-allocate write-back fifo < gcc.trace
